Player,Avg Pick
J. Doctson;Was - WR,187.3333333
Tennessee;Ten - DEF,121
M. Crabtree;Oak - WR,40.0
K. Cousins;Was - QB,74.66666667
M. Lynch;Oak - RB,52.33333333
T. Montgomery;GB - RB,45.0
Carolina;Car - DEF,124
J. Graham;Sea - TE,21.0
D. Adams;GB - WR,43.33333333
L. Fournette;Jax - RB,17.0
O. Beckham Jr.;NYG - WR,7.0
D. Walker;Ten - TE,117.0
C. Newton;Car - QB,49.0
D. Cook;Min - RB,93.0
R. Cobb;GB - WR,139.3333333
Pittsburgh;Pit - DEF,100.3333333
J. Doyle;Ind - TE,178.3333333
M. Stafford;Det - QB,156.6666667
T. West;Bal - RB,154.0
Los Angeles;LAC - DEF,123
B. Cooks;NE - WR,25.0
Buffalo;Buf - DEF,116
C. Palmer;Ari - QB,232.0
M. Bennett;GB - TE,77.0
D. Carr;Oak - QB,164.6666667
T. Kelce;KC - TE,62.66666667
T. Hilton;Ind - WR,32.33333333
T. Coleman;Atl - RB,58.66666667
K. Britt;Cle - WR,131.0
T. Gabriel;Atl - WR,143.3333333
A. Jeffery;Phi - WR,34.0
T. Lockett;Sea - WR,108.0
Baltimore;Bal - DEF,165.6666667
Green Bay;GB - DEF,182.0
New York;NYG - DEF,198.3333333
C. Thompson;Was - RB,148.0
E. Decker;Ten - WR,157.6666667
R. Woods;LAR - WR,174.0
A. Cooper;Oak - WR,20.0
A. Rodgers;GB - QB,14.33333333
J. Landry;Mia - WR,56.66666667
K. Rudolph;Min - TE,104.3333333
B. Roethlisberger;Pit - QB,139.6666667
L. Miller;Hou - RB,53.66666667
Oakland;Oak - DEF,159.0
B. Powell;NYJ - RB,38.33333333
M. Ingram;NO - RB,65.66666667
Justin Tucker;Bal - K,113.3333333
C. Anderson;Den - RB,67.33333333
B. Marshall;NYG - WR,65.66666667
Sebastian Janikowski Oak - K,207.0
K. Stills;Mia - WR,177.3333333
D. Sproles;Phi - RB,140.6666667
Cairo Santos KC - K,118
Z. Ertz;Phi - TE,137.6666667
J. Nelson;GB - WR,10.0
Denver;Den - DEF,66.66666667
A. Abdullah;Det - RB,125.3333333
L. Blount;Phi - RB,155.3333333
Tampa Bay;TB - DEF,120
C. Coleman;Cle - WR,163.3333333
E. Sanders;Den - WR,81.66666667
R. Anderson NYJ - WR,59.0
C. Prosise;Sea - RB,170.3333333
Dan Bailey;Dal - K,143.6666667
J. Winston;TB - QB,88.66666667
Miami;Mia - DEF,122
M. Bryant;Pit - WR,29.66666667
J. Brown;Ari - WR,61.66666667
S. Perine;Was - RB,122.6666667
K. Benjamin;Car - WR,50.0
S. Diggs;Min - WR,78.0
Adam Vinatieri;Ind - K,195.3333333
L. Fitzgerald;Ari - WR,116.0
K. Hunt;KC - RB,40.33333333
D. Henry;Ten - RB,157.0
L. Bell;Pit - RB,5.0
Caleb Sturgis Phi - K,115
M. Wallace;Bal - WR,111.6666667
H. Henry;LAC - TE,89.33333333
K. Allen;LAC - WR,38.33333333
C. Beasley;Dal - WR,188.6666667
D. Murray;Ten - RB,7.666666667
T. Taylor;Buf - QB,183.0
D. Jackson;TB - WR,41.66666667
A. Green;Cin - WR,16.0
Chris Boswell;Pit - K,216.6666667
Mason Crosby;GB - K,205.0
Seattle;Sea - DEF,59.66666667
J. Crowder;Was - WR,103.0
C. Wentz;Phi - QB,232.0
Jason Myers Jax - K,119
J. Flacco;Bal - QB,235.0
D. Prescott;Dal - QB,61.33333333
Graham Gano Car - K,235.6666667
R. Gronkowski;NE - TE,5.666666667
E. Manning;NYG - QB,198.0
S. Bradford;Min - QB,124
M. Thomas;NO - WR,23.33333333
D. Watson;Hou - QB,125
T. Williams;LAC - WR,76.0
S. Vereen;NYG - RB,107.6666667
S. Watkins;LAR - WR,95.0
Matt Bryant;Atl - K,194.0
J. White;NE - RB,166.0
A. Peterson;NO - RB,103.6666667
P. Garcon;SF - WR,126.3333333
Philadelphia;Phi - DEF,140.3333333
R. Wilson;Sea - QB,46.0
J. Witten;Dal - TE,233.0
C. Brate;TB - TE,217.0
T. Ginn Jr.;NO - WR,151.6666667
B. Perriman;Bal - WR,144.6666667
T. Hill;KC - WR,100.0
D. Parker;Mia - WR,72.66666667
Arizona;Ari - DEF,94.33333333
D. Martin;TB - RB,153.0
Atlanta;Atl - DEF,122.0
A. Thielen;Min - WR,123.6666667
D. Hopkins;Hou - WR,53.66666667
J. Thomas;Mia - TE,144.6666667
Wil Lutz;NO - K,211.6666667
A. Luck;Ind - QB,83.33333333
D. Njoku;Cle - TE,123
D. Johnson Jr.;Cle - RB,83.33333333
M. Gillislee;NE - RB,97.66666667
O. Howard;TB - TE,193.0
D. Bryant;Dal - WR,13.66666667
C. Clay Buf - TE,124
D. Allen;NE - TE,206.3333333
Jacksonville;Jax - DEF,119
C. Hogan NE - WR,181.0
D. Johnson;Ari - RB,3.0
T. Brady;NE - QB,22.0
E. Elliott;Dal - RB,61.0
K. White;Chi - WR,121.3333333
