,QB,RB,WR,TE,K,DEF
1,14.33333333,3,3.333333333,5.666666667,113.3333333,50.66666667
2,22,5,5.666666667,21,143.6666667,59.66666667
3,29,6,7,39.33333333,176,63.66666667
4,46,7.666666667,10,54.66666667,194,66.66666667
5,49,10,13.66666667,62.66666667,195.3333333,88.33333333
6,55.66666667,13,16,77,205,94.33333333
7,61.33333333,15,17.66666667,89.33333333,207,100.3333333
8,68,17,20,104.3333333,211.6666667,103.3333333
9,74.66666667,18.33333333,22,117,216.6666667,122
10,83.33333333,21.33333333,23.33333333,120.3333333,222,140.3333333
11,88.66666667,23,25,132,223.3333333,159
12,122,25.33333333,27.66666667,137.6666667,228.6666667,165.6666667
13,139.6666667,30.33333333,29.66666667,144.6666667,233.3333333,182
14,156.6666667,38.33333333,31,178.3333333,235.6666667,198.3333333
15,164.6666667,40.33333333,32.33333333,180.3333333,#DIV/0!,211
16,175,45,34,193,#DIV/0!,#DIV/0!
17,183,48,35.66666667,206.3333333,#DIV/0!,#DIV/0!
18,198,52.33333333,38.33333333,210,#DIV/0!,#DIV/0!
19,222,53.66666667,40,217,#DIV/0!,#DIV/0!
20,232,58.66666667,41.66666667,217,#DIV/0!,#DIV/0!
21,232,61,43.33333333,233,#DIV/0!,#DIV/0!
22,235,65.66666667,46.33333333,#DIV/0!,#DIV/0!,#DIV/0!
23,237,67.33333333,50,#DIV/0!,#DIV/0!,#DIV/0!
24,#DIV/0!,74,53.66666667,#DIV/0!,#DIV/0!,#DIV/0!
25,#DIV/0!,83.33333333,56.66666667,#DIV/0!,#DIV/0!,#DIV/0!
26,#DIV/0!,93,59,#DIV/0!,#DIV/0!,#DIV/0!
27,#DIV/0!,97.66666667,61.66666667,#DIV/0!,#DIV/0!,#DIV/0!
28,#DIV/0!,103.6666667,65.66666667,#DIV/0!,#DIV/0!,#DIV/0!
29,#DIV/0!,107.6666667,68.66666667,#DIV/0!,#DIV/0!,#DIV/0!
30,#DIV/0!,117,72.66666667,#DIV/0!,#DIV/0!,#DIV/0!
31,#DIV/0!,122.6666667,76,#DIV/0!,#DIV/0!,#DIV/0!
32,#DIV/0!,125.3333333,78,#DIV/0!,#DIV/0!,#DIV/0!
