Player,total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
T. Brady NE - QB,465.02,31.13,28.27,30.11,30.11,27.66,30.32,29.09,31.54,0,27.66,27.04,30.11,29.29,28.07,27.04,31.13
A. Rodgers GB - QB,448.96,29.3,25.29,29.1,30.1,25.09,26.9,29.3,0,29.3,28.9,29.1,25.09,29.1,30.1,27.09,28.9
D. Brees NO - QB,406.13,26.83,23.46,24.1,24.1,0,26.46,22.17,27.96,26.03,24.53,26.46,26.24,26.46,22.39,28.18,25.39
M. Ryan Atl - QB,377.64,26.54,23.39,23.02,25.25,0,24.88,20.06,25.06,22.84,22.84,21.35,24.88,24.5,25.06,23.02,22.47
A. Luck Ind - QB,364.4,24.48,23.52,26.03,19.66,25.84,21.21,24.87,21.21,21.21,21.98,0,23.52,22.75,21.79,22.75,21.21
R. Wilson Sea - QB,360.56,20.06,25.4,21.62,23.34,23,0,20.93,23.51,23.69,21.45,21.97,23.51,23.34,22.31,25.58,19.9
K. Cousins Was - QB,357.03,24.33,23.35,22.17,20.59,0,25.71,21.58,21.58,19.41,23.15,21.58,22.95,19.81,21.97,23.35,22.95
D. Prescott Dal - QB,354.6,21.37,20.82,21.49,25.03,21.84,0,23.69,21.66,23.01,20.49,23.18,24.19,23.18,21.16,20.82,21.84
M. Mariota Ten - QB,344.64,22.32,21.69,20.63,20.27,20.27,22.4,23.1,0,22.22,22.4,19.04,20.27,22.22,20.27,22.4,23.81
M. Stafford Det - QB,343.28,23.42,20.41,20.96,20.41,22.27,20.59,0,20.96,18.73,24.69,21.89,22.45,20.41,20.41,23.76,20.41
C. Newton Car - QB,332.39,22.94,21.73,21.55,17.39,19.82,21.91,21.04,19.65,20.17,21.55,0,21.55,19.65,21.55,19.82,21.55
A. Dalton Cin - QB,325.32,19.88,20.94,17.76,21.47,21.47,0,17.76,21.29,20.23,19.17,19,23.24,19.88,22.53,19.17,21.29
D. Carr Oak - QB,325.07,23.82,22.4,19.83,18.8,21.03,22.23,20.52,20,19.15,0,18.97,20.52,20.52,18.46,19.49,19.83
B. Roethlisberger Pit - QB,316.31,23.6,20.42,20.27,19,21.69,18.04,20.74,19,0,18.84,20.58,19.47,18.84,20.42,18.04,18.84
T. Taylor Buf - QB,314.16,21.09,19.12,20.6,17.81,19.12,0,20.76,19.78,20.76,20.93,19.62,18.3,17.98,20.76,20.76,16.5
J. Winston TB - QB,313.01,19.73,22.29,18.62,20.64,18.62,18.62,19.17,20.64,19.17,22.66,0,17.34,17.15,20.83,19.17,18.62
P. Rivers LAC - QB,294.04,17.49,19.62,18.73,19.79,16.78,16.43,19.26,14.83,0,18.2,19.97,15.72,21.74,19.79,17.14,19.26
J. Flacco Bal - QB,291.5,17.06,21.35,18.61,17.57,16.55,20.5,16.89,19.12,17.23,0,15.68,19.12,19.12,16.03,19.46,19.12
E. Manning NYG - QB,288.94,17.4,18.8,17.4,16.88,20.2,16.71,17.75,0,20.72,19.33,18.45,17.4,16.71,17.4,18.98,17.05
C. Wentz Phi - QB,281.66,17.58,16.38,18.1,17.24,18.44,16.38,18.61,20.33,18.1,0,15.35,19.82,15.35,18.27,16.55,17.41
A. Smith KC - QB,274.69,16.05,17.87,17.17,18.15,16.46,17.17,15.9,17.59,14.91,0,16.18,18.43,18.01,17.59,18.43,18.01
C. Palmer Ari - QB,272.24,16.96,15.51,15.83,19.37,15.83,17.44,17.44,0,17.6,15.99,15.67,18.56,19.2,17.44,15.83,17.12
S. Bradford Min - QB,271.53,18.65,14.97,17.73,17.73,17.42,16.35,17.88,18.95,0,16.35,19.11,16.04,15.12,15.89,17.73,14.82
B. Bortles Jax - QB,263.77,14.34,16.79,16.62,16.79,13.65,18.36,14.86,0,17.14,18.19,18.19,14.86,16.79,15.75,16.79,17.49
D. Watson Hou - QB,221.62,0,14.09,12.15,15.48,14.92,17.28,0,12.56,15.48,15.48,15.34,13.81,13.95,17.14,14.92,14.37
M. Glennon Chi - QB,217.19,14.33,12.56,13,11.82,14.04,12.56,14.18,12.85,0,12.7,14.33,12.85,15.81,12.7,12.85,15.96
A. Brown Pit - WR,251.95,16.77,16.05,15.98,15.47,16.57,15.08,16.18,15.47,0,15.4,16.11,15.66,15.4,16.05,15.08,15.4
O. Beckham Jr. NYG - WR,250.19,16.09,15.87,15.34,15.14,16.42,15.07,15.47,0,16.61,16.08,15.74,15.34,15.07,15.34,15.94,15.2
J. Jones Atl - WR,246.97,18.22,15.11,14.98,17.76,0,15.63,13.94,15.7,14.92,14.92,14.4,15.63,15.5,15.7,14.98,14.79
M. Evans TB - WR,236.78,16.09,15.65,14.39,15.09,14.39,14.39,14.58,15.09,14.58,15.78,0,13.95,13.89,15.15,14.58,14.39
D. Bryant Dal - WR,233.21,15.05,14.04,14.28,15.58,14.4,0,15.08,14.34,14.84,13.91,14.9,15.27,14.9,14.16,14.04,14.4
J. Nelson GB - WR,232.97,14.94,13.71,14.88,15.19,13.65,14.21,14.94,0,14.94,14.82,14.88,13.65,14.88,15.19,14.26,14.82
A. Green Cin - WR,231.53,15.64,14.6,13.46,14.79,14.79,0,13.46,14.72,14.35,13.97,13.91,15.42,14.22,15.17,13.97,14.72
D. Baldwin Sea - WR,223.17,13.55,14.89,13.61,14.19,14.07,0,13.38,14.25,14.31,13.55,13.73,14.25,14.19,13.84,14.95,13.03
M. Thomas NO - WR,222.47,13.82,13.39,13.57,13.57,0,14.25,13.02,14.68,14.13,13.7,14.25,14.19,14.25,13.09,14.74,13.95
A. Cooper Oak - WR,216.68,14.11,14.29,13.42,13.08,13.82,14.22,13.65,13.48,13.19,0,13.13,13.65,13.65,12.96,13.31,13.42
T. Hilton Ind - WR,210.51,12.56,13.02,13.73,11.91,13.68,12.36,13.4,12.36,12.36,12.58,0,13.02,12.79,12.52,12.79,12.36
T. Hill KC - WR,203.03,13.1,12.86,12.64,12.94,12.42,12.64,12.25,12.77,11.94,0,12.34,13.04,12.9,12.77,13.04,12.9
D. Thomas Den - WR,202.86,12.86,12.64,12.53,12.86,0,12.97,12.64,12.31,12.53,12.31,13.03,12.31,12.53,13.64,12.53,12.53
B. Cooks NE - WR,198.14,12.91,12.18,12.65,12.65,12.03,12.7,12.39,13.01,0,12.03,11.87,12.65,12.44,12.13,11.87,12.91
G. Tate Det - WR,197.18,13.01,12.02,12.17,12.02,12.54,12.08,0,12.17,11.55,13.22,12.44,12.6,12.02,12.02,12.96,12.02
A. Jeffery Phi - WR,195.24,12.2,11.82,12.36,12.09,12.47,11.82,12.52,13.06,12.36,0,11.49,12.9,11.49,12.41,11.87,12.14
T. Pryor Sr. Was - WR,194.18,12.7,12.42,12.1,11.66,0,13.07,11.93,11.93,11.33,12.37,11.93,12.31,11.44,12.04,12.42,12.31
M. Crabtree Oak - WR,194.13,12.64,12.8,12.02,11.72,12.38,12.74,12.23,12.08,11.82,0,11.77,12.23,12.23,11.61,11.92,12.02
J. Landry Mia - WR,190.55,12.37,11.87,12.17,12.27,12.27,11.32,12.82,11.67,12.07,11.67,0,11.07,12.07,11.57,11.82,11.52
T. Austin LAR - WR,190.36,7.33,7.24,7.27,6.62,7,7.15,7.19,0,6.86,7.19,6.92,7.24,6.86,7.27,6.56,6.95
M. Bryant Pit - WR,188.35,0,12.87,12.81,12.38,13.29,12.06,12.97,12.38,0,12.33,12.92,12.54,12.33,12.87,12.06,12.33
D. Hopkins Hou - WR,187.13,11.75,11.44,10.74,11.95,11.75,12.6,0,10.89,11.95,11.95,11.9,11.34,11.39,12.55,11.75,11.54
T. Lockett Sea - WR,186.52,11.39,12.3,11.43,11.82,11.74,0,11.26,11.86,11.9,11.39,11.5,11.86,11.82,11.59,12.34,11.03
A. Robinson Jax - WR,186.13,10.99,11.72,11.67,11.72,10.79,12.19,11.15,0,11.83,12.14,12.14,11.15,11.72,11.42,11.72,11.93
K. Benjamin Car - WR,180.1,11.87,11.53,11.48,10.3,10.98,11.58,11.33,10.94,11.09,11.48,0,11.48,10.94,11.48,10.98,11.48
D. Jackson TB - WR,178.79,11.22,11.92,10.92,11.47,10.92,10.92,11.07,11.47,11.07,12.02,0,10.57,10.52,11.52,11.07,10.92
D. Adams GB - WR,178.42,11.45,10.49,11.4,11.64,10.44,10.87,11.45,0,11.45,11.35,11.4,10.44,11.4,11.64,10.92,11.35
W. Snead NO - WR,174.73,10.85,10.51,10.66,10.66,0,11.19,10.22,11.52,11.09,10.75,11.19,11.14,11.19,10.28,11.58,10.95
E. Sanders Den - WR,174.66,11.07,10.89,10.8,11.07,0,11.16,10.89,10.61,10.8,10.61,11.2,10.61,10.8,11.7,10.8,10.8
J. Crowder Was - WR,173.98,11.34,11.11,10.84,10.47,0,11.66,10.7,10.7,10.2,11.07,10.7,11.02,10.29,10.79,11.11,11.02
D. Moncrief Ind - WR,172.17,11.18,10.94,11.55,10.01,11.51,10.38,11.27,10.38,10.38,10.57,0,10.94,10.75,10.52,10.75,10.38
S. Diggs Min - WR,172.03,11.27,10.14,10.98,10.98,10.89,10.56,11.03,11.36,0,10.56,11.41,10.46,10.19,10.42,10.98,10.09
J. Matthews Buf - WR,171.47,11.14,10.57,11,10.18,10.57,0,11.05,10.76,11.05,11.09,10.71,10.33,10.23,11.05,11.05,9.8
T. Williams LAC - WR,169.85,10.38,10.95,10.71,11,10.19,10.09,10.85,9.66,0,10.57,11.05,9.9,11.52,11,10.28,10.85
M. Wallace Bal - WR,169.72,10.29,11.47,10.71,10.43,10.14,11.23,10.24,10.86,10.33,0,9.91,10.86,10.86,10,10.95,10.86
R. Cobb GB - WR,166.79,10.7,9.82,10.65,10.87,9.77,10.17,10.7,0,10.7,10.61,10.65,9.77,10.65,10.87,10.21,10.61
D. Parker Mia - WR,166.6,10.84,10.38,10.66,10.75,10.75,9.87,11.25,10.19,10.56,10.19,0,9.64,10.56,10.1,10.33,10.06
R. Matthews Ten - WR,163.96,10.8,10.26,9.99,9.9,9.9,10.44,10.62,0,10.4,10.44,9.59,9.9,10.4,9.9,10.44,10.8
L. Fitzgerald Ari - WR,163.77,10.22,9.83,9.91,10.88,9.91,10.35,10.35,0,10.39,9.96,9.87,10.66,10.83,10.35,9.91,10.26
J. Brown Ari - WR,161.67,10.09,9.69,9.79,10.75,9.79,10.22,10.22,0,10.26,9.82,9.74,10.52,10.7,10.22,9.79,10.13
B. Marshall NYG - WR,158.75,9.76,10.1,9.76,9.63,10.45,9.59,9.85,0,10.58,10.24,10.02,9.76,9.59,9.76,10.15,9.68
A. Thielen Min - WR,158.59,10.39,9.35,10.12,10.12,10.04,9.73,10.17,10.47,0,9.73,10.52,9.65,9.39,9.61,10.12,9.3
C. Meredith Chi - WR,155.31,9.93,9.4,9.54,9.19,9.85,9.4,9.89,9.49,0,9.45,9.93,9.49,10.37,9.45,9.49,10.42
